,Smiles,MTB Standardized Residuals,Scaffold
56,[N-]=[N+]=NC1=CC=C(N2N=CN=C2)C=C1,0.0359435029823963,c1ccc(-n2cncn2)cc1
57,O=C1NC(C)=CC(C)=C1CN=[N+]=[N-],0.8517320722957159,O=c1cccc[nH]1
58,ClC1=CC=C(OCCN=[N+]=[N-])C=C1,0.7282224828896862,c1ccccc1
59,FC1=CC(COC2=CC=C(C=C2Cl)N=[N+]=[N-])=CC=C1,0.5419453151367388,c1ccc(COc2ccccc2)cc1
60,[N-]=[N+]=NC1=CC=C(CN2CCOCC2)C=C1,0.1257277771514372,c1ccc(CN2CCOCC2)cc1
61,CN(CC1)CCN1C2=C(N=[N+]=[N-])C=CC=C2,-0.4899837884837443,c1ccc(N2CCNCC2)cc1
62,CN1CCC(C2=CC=C(C=C2)N=[N+]=[N-])CC1,-0.1928619668002922,c1ccc(C2CCNCC2)cc1
63,O=C(OC(C)(C)C)N1CCC(N2N=CC(N=[N+]=[N-])=C2)CC1,-1.312412501345484,c1cnn(C2CCNCC2)c1
64,COC1=NC=CC(CN=[N+]=[N-])=C1,-0.0394619402389265,c1ccncc1
65,COC1=C(N=[N+]=[N-])C=CC=C1OC,0.9078531774281988,c1ccccc1
66,CCCOC1=CC=C(N=[N+]=[N-])C=C1,1.071638361797831,c1ccccc1
67,CCN(CC1)CCN1C2=CC=C(N=[N+]=[N-])C=C2,-0.8735711011609135,c1ccc(N2CCNCC2)cc1
68,[N-]=[N+]=NC1=CNN=C1,-1.663460343385055,c1cn[nH]c1
69,CC1=C(N=[N+]=[N-])C=CC=C1C(O)=O,0.8262135437832112,c1ccccc1
70,OS(C1=CC=CC(N=[N+]=[N-])=C1)(=O)=O,0.9545452834727692,c1ccccc1
71,COC1=C(OC)C=C(CCN=[N+]=[N-])C=C1,-2.102690846652322,c1ccccc1
72,O=C1N(C2C(NC(CC2)=O)=O)CC3=C(N=[N+]=[N-])C=CC=C31,0.8583936973943319,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1
73,OC[C@@H](N=[N+]=[N-])C1=CC=CC=C1,-0.3359710642407102,c1ccccc1
74,O[C@H]1CC2=CC=CC=C2[C@H]1N=[N+]=[N-],-0.7579718812179289,c1ccc2c(c1)CCC2
